	cell type: Hematopoietic stem cell_CD133+ CD34dim_to_cell type: Hematopoietic stem cell_CD38- CD34+	cell type: Hematopoietic stem cell_CD38- CD34+_to_cell type: Common myeloid progenitor	cell type: Hematopoietic stem cell_CD38- CD34+_to_cell type: Early B-cell	cell type: Early B-cell_to_cell type: Pro B-cell	cell type: Pro B-cell_to_cell type: Naïve B-cells	cell type: Naïve B-cells_to_cell type: Mature B-cells	cell type: Naïve B-cells_to_cell type: Mature B-cell class able to switch	cell type: Naïve B-cells_to_cell type: Mature B-cell class switched	cell type: Hematopoietic stem cell_CD38- CD34+_to_cell type: Naive CD8+ T-cell	cell type: Hematopoietic stem cell_CD38- CD34+_to_cell type: Naive CD4+ T-cell	cell type: Naive CD4+ T-cell_to_cell type: CD4+ Central Memory	cell type: Naive CD4+ T-cell_to_cell type: CD4+ Effector Memory	cell type: Naive CD8+ T-cell_to_cell type: CD8+ Central Memory	cell type: Naive CD8+ T-cell_to_cell type: CD8+ Effector Memory	cell type: Naive CD8+ T-cell_to_cell type: CD8+ Effector Memory RA	cell type: Hematopoietic stem cell_CD38- CD34+_to_cell type: NKT	cell type: Hematopoietic stem cell_CD38- CD34+_to_cell type: Mature NK cell_CD56+ CD16+ CD3-	cell type: Hematopoietic stem cell_CD38- CD34+_to_cell type: Mature NK cell_CD56- CD16+ CD3-	cell type: Hematopoietic stem cell_CD38- CD34+_to_cell type: Mature NK cell_CD56- CD16- CD3-	cell type: Hematopoietic stem cell_CD38- CD34+_to_cell type: Plasmacytoid Dendritic Cell	cell type: Common myeloid progenitor_to_cell type: Myeloid Dendritic Cell	cell type: Common myeloid progenitor_to_cell type: Granulocyte/monocyte progenitor	cell type: Common myeloid progenitor_to_cell type: Megakaryocyte/ erythroid progenitor	cell type: Megakaryocyte/ erythroid progenitor_to_cell type: Erythroid_CD34+ CD71+ GlyA-	cell type: Erythroid_CD34+ CD71+ GlyA-_to_cell type: Erythroid_CD34- CD71+ GlyA-	cell type: Erythroid_CD34- CD71+ GlyA-_to_cell type: Erythroid_CD34- CD71+ GlyA+	cell type: Erythroid_CD34- CD71+ GlyA+_to_cell type: Erythroid_CD34- CD71lo GlyA+	cell type: Erythroid_CD34- CD71lo GlyA+_to_cell type: Erythroid_CD34- CD71- GlyA+	cell type: Megakaryocyte/ erythroid progenitor_to_cell type: Colony Forming Unit-Megakaryocytic	cell type: Colony Forming Unit-Megakaryocytic_to_cell type: Megakaryocyte	cell type: Granulocyte/monocyte progenitor_to_cell type: Colony Forming Unit-Granulocyte	cell type: Colony Forming Unit-Granulocyte_to_cell type: Granulocyte (Neutrophilic Metamyelocyte)	cell type: Granulocyte (Neutrophilic Metamyelocyte)_to_cell type: Granulocyte (Neutrophil)	cell type: Granulocyte/monocyte progenitor_to_cell type: Colony Forming Unit-Monocyte	cell type: Colony Forming Unit-Monocyte_to_cell type: Monocyte	cell type: Granulocyte/monocyte progenitor_to_cell type: Eosinophill	cell type: Granulocyte/monocyte progenitor_to_cell type: Basophils
BCL6	-0.00046517	0.0005134	4.7145e-05	0.0011981	-0.00041155	-0.00075243	-0.00092023	-0.00015414	0.0016269	0.00087749	-0.00081461	0.00074163	0.00046732	6.0817e-05	-0.00030321	-0.009382	0.00050405	0.088707	8.4328e-05	-0.019123	0.0026363	0.00059869	-0.00011736	-0.00066337	-0.016771	-0.00067296	0.074441	-0.00082146	-0.037802	0.00070477	-0.038774	0.00043896	0.014122	-0.00063338	-0.014315	0.00028526	-0.00041755
PMF1	-0.00015498	-0.00081645	0.026325	-0.00044983	-0.03436	0.00018459	-0.00071892	0.043486	-0.00023071	-0.00054196	0.00063139	0.00014812	-3.6041e-06	-0.00081704	-0.00034773	0.00088207	-0.00061497	0.00039715	-0.00057954	-0.00054245	0.039992	-9.6296e-06	0.00064811	6.3326e-05	-0.00012654	2.7396e-05	-0.0004914	-0.00022253	-0.0054913	0.13448	0.00058137	0.088819	-0.00083816	-3.8064e-05	-0.032037	0.00022685	0.00054757
TLX1	-0.00060115	0.00036192	0.00047089	-0.0063992	0.0010471	0.00034244	-0.00067036	0.00043059	-0.00071718	-0.014292	0.00077834	0.20057	-0.070805	0.00069114	-0.00087021	-0.00024935	-0.00056258	-0.012453	0.035173	0.017587	-0.035169	-0.0016471	0.058186	-0.041204	-0.00037507	0.00038789	-0.075135	0.05296	-0.24261	0.23234	-0.00043026	-0.00060382	-0.0025039	0.00098279	0.081299	0.00026383	0.00073815
DCAF6	-0.038673	-0.0043097	6.3992e-05	0.0008794	0.00041576	-0.00020499	0.01966	-0.00078796	0.00075591	0.00053477	0.00057568	-0.0004808	-0.00083171	0.00065756	-0.013206	0.017726	-0.024942	0.00030868	0.00059502	-0.0003126	4.8265e-05	-0.00092493	0.00043668	0.011735	-0.00093693	0.00036154	-0.0011761	-0.00012198	0.066547	-0.11733	-0.00064381	0.00096482	0.00062663	7.715e-05	-0.0009865	0.039029	0.00032288
POU2F2	-0.00082881	-0.051358	-0.070075	0.0039385	0.00054499	0.00076097	0.044569	3.6213e-05	-0.02444	-0.071876	0.0937	0.052563	0.00037213	-0.00076982	0.00021001	0.00033923	8.1721e-05	-0.0033167	-0.03278	-0.0011826	-0.00079318	0.034698	0.006484	-0.043924	-0.0077663	0.069716	-0.00036771	0.00082878	-0.00021692	-0.00024518	-0.00017633	-0.00022752	0.00034313	9.0836e-05	-0.00094773	0.00084046	-0.00054447
TGIF1	-0.00021454	0.00060371	0.00010915	0.00030786	-9.1355e-05	0.00028958	-0.00020171	0.0046283	2.5092e-05	0.00041701	-0.00042751	0.00060328	0.00062854	-0.00022961	-0.00076315	-0.00055272	0.00054639	0.0005625	0.00038409	0.00029583	6.7798e-05	0.00033469	-0.0001867	-0.0003912	-0.00045141	-0.0004029	0.00089322	0.00031537	0.00078807	-1.6684e-05	-0.00013737	-0.00079992	0.0004159	-0.00043659	-8.4798e-05	-0.00023785	-0.00081626
POU2F1	-0.00033473	0.0007282	-0.0049475	-0.00095114	-0.014643	-0.00048445	-0.0003082	0.00013183	0.0011157	0.00035577	-0.00076393	-0.00076306	0.032855	-0.00034582	-0.032024	3.6618e-05	0.0010289	-0.00041219	-0.00071163	0.00028089	-0.056296	0.022853	0.00039696	-0.00031372	-0.021149	0.00042848	-0.00022189	-0.021886	-0.057615	0.080034	9.1839e-05	-0.011559	0.00034481	-0.00029927	8.9021e-06	-0.0066546	0.00038562
HSF1	-0.00049702	-0.00012537	0.00046458	0.013904	-0.00024074	-0.00079616	-0.014041	0.00025639	-0.020966	-0.012403	0.033308	-0.00044279	0.095477	0.0269	0.027512	0.025361	-0.00026637	-0.00092868	-0.00040906	-0.00012342	-0.017526	0.013964	-0.018509	0.018422	0.00022864	0.0013568	0.025648	-0.0012773	-0.00028727	-0.00029631	-0.00036692	-0.00020646	-0.055453	0.028956	-0.042735	-0.041194	-0.013663
HSF2	-0.00013828	-0.030379	0.00038139	0.0098356	-0.009745	7.9743e-06	-0.020155	0.00062484	0.024061	-0.00059473	-0.0007527	0.00024542	-0.075374	0.00048504	0.00029672	-0.00049193	0.074197	-0.00067605	-0.054089	0.038391	0.023857	0.041104	0.022351	0.00039552	0.00020047	-0.0078667	-0.00053425	0.00040491	0.00020486	-0.00091969	0.0017704	-0.025621	-0.00055715	0.00037214	-0.00074348	-0.10168	-0.00086808
WWP1	0.00049287	0.00082584	-0.0005493	-0.02276	0.037184	-0.00017183	0.00026168	-0.0097313	-0.00021288	7.9058e-05	-0.00016153	0.0002749	5.6028e-05	-1.7878e-05	-0.027587	-0.044078	-0.00034536	-0.00034536	-0.00034536	0.00046088	-0.00060791	-0.0018558	-0.00080917	1.2237e-05	0.00091194	0.022594	-0.024853	0.00066114	0.034381	-0.0033145	0.00012876	0.00038901	0.00071397	0.0005952	-0.00053026	-0.00027879	0.00070736
